"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBA521",8.37322911983701e-13,0.568554699022943,0.447,0.284,1.82988549184918e-08,"9","UBA52"
"SET",9.54708194526669e-13,0.550458975130081,0.289,0.156,2.08641928831858e-08,"9","SET"
"S100A111",1.92108419827319e-12,0.256119662287727,0.303,0.161,4.19833740690622e-08,"9","S100A11"
"RPS252",2.21445797764292e-12,0.640825661947774,0.372,0.222,4.83947646434083e-08,"9","RPS25"
"RPS172",2.76151769898104e-12,0.552755171186413,0.452,0.293,6.03502077935316e-08,"9","RPS17"
"CLTC",2.99153810367825e-12,0.636927821214355,0.281,0.153,6.53770737177844e-08,"9","CLTC"
"RPS112",3.64039287935216e-12,0.614469035811458,0.562,0.384,7.95571459853621e-08,"9","RPS11"
"SLC25A5",4.7346933579166e-12,0.631766295438478,0.279,0.152,1.03471988643909e-07,"9","SLC25A5"
"TRIR",5.48448185724878e-12,0.419892528096539,0.274,0.146,1.19857866508315e-07,"9","TRIR"
"RTL8C",6.13763923633245e-12,0.561369274845631,0.257,0.136,1.34131967870809e-07,"9","RTL8C"
"RPL182",6.25830311498319e-12,0.571605141116679,0.418,0.264,1.36768956274843e-07,"9","RPL18"
"HSP90B11",6.86807627401115e-12,0.752379893566583,0.301,0.173,1.5009493889224e-07,"9","HSP90B1"
"C19orf53",7.49387227349587e-12,0.548312331681665,0.298,0.168,1.63771084664979e-07,"9","C19orf53"
"HNRNPK",9.42390412300604e-12,0.469395961378866,0.323,0.188,2.05950000704174e-07,"9","HNRNPK"
"RPL392",1.03070426884658e-11,0.552840578303065,0.374,0.23,2.25250110913731e-07,"9","RPL39"
"SLC25A31",1.03336039133747e-11,0.588692523242612,0.269,0.149,2.25830579922892e-07,"9","SLC25A3"
"RPL352",1.1832173298221e-11,0.572711705142129,0.318,0.184,2.58580315259321e-07,"9","RPL35"
"VDAC1",1.51646674723059e-11,0.532744971784044,0.352,0.208,3.31408642939772e-07,"9","VDAC1"
"RPS82",1.53475276671389e-11,0.57704974022678,0.54,0.389,3.35404869637653e-07,"9","RPS8"
"TMED9",3.99888044890502e-11,0.534998392067894,0.381,0.235,8.73915333303704e-07,"9","TMED9"
"OST41",4.19540805210648e-11,0.40792253304875,0.254,0.138,9.1686447570735e-07,"9","OST4"
"RPS51",6.00049974298857e-11,0.476684752506387,0.484,0.326,1.31134921383272e-06,"9","RPS5"
"EIF4B",1.02440934543496e-10,0.584666758681788,0.379,0.237,2.23874418351356e-06,"9","EIF4B"
"RPL37A3",1.34903853734361e-10,0.478746908026018,0.641,0.474,2.94818881951073e-06,"9","RPL37A"
